_RAJ2000,_DEJ2000,WR,Name,Aname,RAJ2000,DEJ2000,r_Pos,r_FC,recno
266.5466667,-28.8182222,102c,FMM96-1,,17 46 11.20,-28 49 05.60,FM99p,FM99a,159
266.5591667,-28.8213333,102d,FMM95-1,,17 46 14.20,-28 49 16.80,FM99p,FM99a,160
266.5620833,-28.8335556,102e,FMM96-2,,17 46 14.90,-28 50 00.80,FM99p,FM99a,161
266.5632083,-28.827875,102f,FMM96-3,,17 46 15.17,-28 49 40.35,FM99p,FM99a,162
266.56325,-28.8284778,102g,FMM99-1,,17 46 15.18,-28 49 42.52,FM99p,FM99a,163
266.565,-28.8385,102h,FMM95-2,,17 46 15.60,-28 50 18.60,FM99p,FM99a,164
266.5691667,-28.8255833,102i,FMM96-4,,17 46 16.60,-28 49 32.10,FM99p,FM99a,165
266.5733333,-28.8247778,102j,FMM96-5,,17 46 17.60,-28 49 29.20,FM99p,FM99a,166
266.5733333,-28.8219167,102k,FMM96-6,,17 46 17.60,-28 49 18.90,FM99p,FM99a,167
270.143,-22.7942222,102l,SMSNPL 17,,18 00 34.32,-22 47 39.20,SM99,SM99,168
270.42975,-32.7153333,103,,HIP 88287,18 01 43.14,-32 42 55.20,Hip,VI,169
270.5169583,-23.6281111,104,Ve2-45,,18 02 04.07,-23 37 41.20,L2,VI,170
270.59775,-23.5771389,105,Ve2-47,GSC 6842-1547,18 02 23.46,-23 34 37.70,GSC,VI,171
271.1819167,-21.1585278,106,IC14-8,GSC 6263-1874,18 04 43.66,-21 09 30.70,GSC,VI,172
271.1920833,-21.8575,107,DA 1,,18 04 46.10,-21 51 27.00,VIp,VI,173
271.2978333,-22.2228889,107a,SMSNPL 18,,18 05 11.48,-22 13 22.40,SM99,SM99,174
271.35725,-23.0056389,108,LS 14,HIP 88597,18 05 25.74,-23 00 20.30,Hip,VI,175
271.9645833,-35.1722222,109,NS 5,,18 07 51.50,-35 10 20.00,VIp,VI,176
271.9873333,-19.3991111,110,,HIP 88828,18 07 56.96,-19 23 56.80,Hip,VI,177
272.118625,-21.2531111,111,,HIP 88856,18 08 28.47,-21 15 11.20,Hip,VI,178
274.1395417,-18.9784722,112,GL 2104,,18 16 33.49,-18 58 42.50,L2,VI,179
274.7806667,-11.6331111,113,,HIP 89769,18 19 07.36,-11 37 59.20,Hip,VI,180
275.8182917,-13.7238333,114,IC14-17,GSC 5702-1056,18 23 16.39,-13 43 25.80,GSC,VI,181
276.3750417,-14.6446944,115,IC14-19,HIP 90299,18 25 30.01,-14 38 40.90,Hip,VI,182
276.7678333,-12.3811944,116,AS 306,GSC 5698-3822,18 27 04.28,-12 22 52.30,GSC,VI,183
277.7605833,-6.5970833,117,IC14-22,GSC 5124-1254,18 31 02.54,-06 35 49.50,GSC,VI,184
277.92625,-9.9875,118,GL 2179,,18 31 42.30,-09 59 15.00,VIp,VI,185
279.824625,-10.0919722,119,The 2,GSC 5696-0847,18 39 17.91,-10 05 31.10,GSC,VI,186
280.2536667,-4.4373056,120,Vy1-3,GSC 5121-0128,18 41 00.88,-04 26 14.30,GSC,VI,187
281.0547917,-3.7993889,121,AS 320,HIP 91911,18 44 13.15,-03 47 57.80,Hip,VI,188
281.9,-1.9424722,121a,W43#1,,18 47 36.00,-01 56 32.90,BD99,BD99s,189
285.9959167,-4.3171944,123,,HIP 93626,19 03 59.02,-04 19 01.90,Hip,VI,190
287.8786667,16.8606111,124,209 BAC,HIP 94289,19 11 30.88,+16 51 38.20,Hip,VI,191
